A11_0 绿是阳春烟景大块文章的底色四月的林峦更是绿得鲜活秀媚诗意盎然
A11_34 新华社贵阳二月十八日电贵州高原上寒气尚未散尽街头黔女已着裙装飘然过市为贵阳带来盈盈春意
A11_35 到了有庆提着一篮草回来上学也快迟到了急忙往嘴里塞一碗饭边嚼边往城里跑
A11_36 待夜晚渐深月出于东山溶溶月华擦亮小湖映入水中的月辉如玉盘小湖便像镜月
A11_37 另外群众反映袁运发有个妹妹在澳头居住去年春节前请工人砌墙把厕所墙砌塌了
A11_38 四百二十三米跨径的主桥合龙误差不足两毫米比小米粒还小
A11_39 否则光有产量销不出去库存越来越多外欠货款越来越多流动资金就会越来越少
A11_40 设想要海阔天空观察要全面细致立论要有根有据这是欧阳自远的治学准则
A11_41 新华社波恩一月三日消息西德人类学家经考古发现远在石器时代的人就患有癌症
A11_42 通讯员卜凡广最大的感受是团长今年更忙了在团部没呆几天总往边防钻井点跑
A11_43 它是利用光波扫描配合激光过滤以化学物矽去造模最后以一种电脑技术制作而成
A11_44 此刻太阳撕破云层撩起雾幔瑶山才露出它俏美的面容
A11_45 另外加工修理和修配业务不属于营业税的应税劳务不缴纳营业税
A11_46 换句话说一个氯原子只能和一个钠原子结合而二个氯原子才能和一个镁原子化合
A11_47 此后记者们和各有关机构总是有意无意地把两人往一块儿凑希望促成一段美好姻缘
A11_48 目前内蒙古拥有蒙医院二十七所中蒙医院十九所中蒙医研究所七处
A11_49 务必使叫卖柔和有韵不能野调无腔让外国人以为伦敦住的都是疯子
A11_50 一香港的抗日救亡运动以救亡文化运动为主要形式
A11_51 旅与游的时间比往往旅长游短与游客的愿望相悖
A11_52 青草又松又软歪歪曲曲地追随着道路向远处延伸
A11_53 于是乎黑白颠倒鸡鸭鱼肉受冷落野菜窝头却成了餐桌上的宠儿
A11_54 这种伟航牌电子灭蚊蝇灯采用某种光谱能的光效应诱杀蚊蝇和飞虫对人体无害
A11_55 同月首批苏联武器装备用快艇从黑海的敖得萨港运达广州
A11_56 据说母亲生下没一年功夫染上了一种怪病不吃不喝乱哭乱闹急得外婆满山遍野去找草药来驱鬼
A11_57 男宾一个澡十五元女宾十元除了池淋盆浴以外同样可享用桑拿浴蒸汽浴
A11_58 特别是跨省区电网超计划用电不仅损害自己也损害别人损害电网损害国家
A11_59 一旦遇到猎物立即用脚须钳住尾巴钩转用尾刺注射一针将猎物毒死
A11_60 豆腐脑品尝过了那方方正正白白嫩嫩的豆腐块儿吃过后满口余香
A11_61 看着鱼儿扭动不知是因为鱼儿孤单还是因为鱼儿妩媚柳生有些凄然
A11_62 本书中的从百草园到三味书屋藤野先生范爱农等篇被选入中学语文课本
A11_63 是呀男人以为让酒让烟是极普遍的事可是只限于烟酒他们不会肥马轻裘与友共之
A11_64 房间后窗吹进不易察觉的轻风黑鸦鸦的山脉上一轮明月悬空回廊庭院中树影婆娑
A11_65 新华社南宁一月二十六日电铁道运营财务会计通用软件系列在柳州铁路局研制成功
A11_66 新华社太原二月五日电科学家研究发现掌握应用气象资料能够预防煤矿的瓦斯爆炸
A11_67 赤铁矿的成分是三氧化二铁颜色呈暗红色或钢灰色它因粉末呈红色而得名
A11_68 连广西那样的边远省区家电维修培训结业学员也超过了十万人
A11_69 这种电热杯可以壁用也可以立用不怕摇晃颠簸盖口有密封圈盖上有蜂鸣装置
A11_70 以拉萨为汇合点的其网络延伸点是日月山鸣沙山和火焰山等客源市场侧重于欧美
A11_71 刘永纲等委员呼吁实行药品专营确保用药安全
A11_72 小鸳鸯成长很快到了深秋在北方出生的小鸳鸯便能跟随鸳鸯大群一起南下越冬了
A11_73 这次全国青年排球联赛共设天津舟山武汉三个赛区每个赛区的前两名将参加复赛
A11_74 空军航空兵某部女飞行员王琴刻苦钻研飞行技能最近跨入了全天候飞行员行列
A11_75 崇祯帝本对他颇为倚重还驾临孙府以示恩宠令孙元化感激涕零
A11_76 眼下楼越盖越高越盖越多越盖越漂亮可盖楼的人心里却是越来越没底儿了
A11_77 一九九五年一月温州市委副秘书长翁锦武来接任瓯海区委书记
A11_78 半个多世纪前日军修筑的壕堑依然僵蛇般横卧黑风口两侧荒山野岭灼痛我的目光
A11_79 美容品减肥药营养液市场走俏有人认为是靠广告硬煽火起来的
A11_80 可发展纯棉全色被套印花被单钩边簇绒床罩床围枕套配套件等
A11_81 硬骨头六连历任主管战斗英雄和转业退伍干部战士代表应邀坐在嘉宾席上
A11_82 最后该议案以三百一十票反对二百九十一票赞成而遭到否决迪尼政府幸免于难
A11_83 老曲头话语很实诚又似乎言犹末尽他忆苦时谈得畅快思甜时却吞吞吐吐显然有难言之隐
A11_84 从飞机上往下望去就如同一个硕大的玉盆一样盆底下面还有缕缕青烟冒出
A11_85 胡耀邦与杨勇确系嫡亲姨表兄弟耀邦的母亲刘明伦与杨勇的母亲刘世珍是同胞姐妹
A11_86 氟碳化合物像螃蟹的螯那样能够把氧抓住在人体里再把氧气放出来进行人体里的特种氧化还原反应
A11_87 本版一一九二期杂文受好评一文内淮北文联应为淮南文联特此更正
A11_88 诚然并非所有舞团都像芭蕾舞团那样幸运芭蕾舞团也并非所有剧目都受欢迎
A11_89 在桑蚕生产处于不景气的形势下广西永福县三皇乡蚕农今年却积极护理桑苗发展养蚕
A11_90 不除了这个养牛场我还扶持了一百二十个养牛专业户您刚才看过的李长远和李长江两家就是其中之一
A11_91 西安东南北城门前有许多宣传牌挂一块牌一年要花两万元我们也挂了一块
A11_92 揭阳成为外商投资新热点建市一年引进外资十五亿美元
A11_93 不是吹牛也可能是自我要求较高与我相熟的运动员大多是有追求的人
A11_94 那天上午我们一家扛着米端着盐往食堂送时有庆牵着两头羊低着脑袋往晒场去
A11_95 几处坳口被战火燃烧过青烟依然飘袅而升朝河谷上空弥散直到与天地融为一体
A11_96 以一根碗口粗细圆木作桩桩高约两丈以木桩为中心将晒干后成束稻草呈圆形码起
A11_97 使用这样的牙刷会不同程度地刺伤牙龈造成牙龈出血并导致牙齿过度磨损
A11_98 全党必须紧紧团结在以江泽民同志为核心的党中央周围一心一意稳扎稳打共创未来
A11_99 红娘子插金簪戴银花比牡丹芍药胜五倍从容出阁宛若云母天仙
A11_100 可谁知纹完后她一照镜子只见左下眼睑的线又粗又黑与右侧明显不对称
A11_101 七十年代末我外出求学母亲叮咛我吃饭要细嚼慢咽学习要深钻细研
A11_102 一进门我被惊呆了这户名叫庞吉的老农是抗美援朝负伤回乡的老兵妻子长年有病家徒四壁一贫如洗
A11_103 走出村子老远老远我还回头张望那个安宁恬静的小院那个使我终身难忘的小院
A11_104 二月四日住进新西门外罗家碾王家冈朱自清闻讯特地从东门外赶来庆贺
A11_105 单位不是我老爹开的凭什么要一次二次照顾我我不能把自己的包袱往学校甩
A11_106 都用草帽或胳膊肘护着碗趔趔趄趄穿过烂泥塘般的院坝跑回自己的宿舍去了
A11_107 香港演艺圈欢迎毛阿敏加盟无线台与华星一些重大的演唱活动都邀请她出场有几次还特意安排压轴演出
A11_108 如腌拌黄瓜将黄瓜洗净切片后用盐腌半小时左右食用时加糖醋麻油即可
A11_109 结果布瓦万不知怎么未能把伞打开而摔死而卡特琳操纵降落伞安然着地
A11_110 君子多欲则贪慕富贵枉道速祸小人多欲则多求妄用败家丧身
A11_111 我们家有台旧音响坏了以后我妈让我修被我越修越不成样子她就不往回要了
A11_112 反正咱高低都不说啥做人不能忘本没有老马哪儿有云霞的今天我啥也不说啦
A11_113 如此举措源于杭州娃哈哈食品集团公司总经理宗庆后对市场特质的洞悉
A11_114 金鸡山下的弄尧村隘口镇过去穷得叮当响现在却出了百万富翁甚至千万富翁
A11_115 马晓年作画的特征与神韵其画风区别于文人画和年画可谓雅俗共赏
A11_116 鉴于此经研究决定海峡情专栏原定三月底结束现延至五月三十一日特此告知
A11_117 我曾足迹遍及海内外但使我始终萦回不能忘怀的却是这片生我养我的中原故土
A11_118 由于产妇早产医护人员将三胞胎婴儿放在育婴箱内精心护理以保证他们存活
A11_119 陈云同志同时要求干部认真学习业务精通业务向一切业务内行人学习
A11_120 中年演员马莉莉陆敬业青年演员孙徐春等也为观众演出了拿手曲目
A11_121 从县级经济规模现状出发应以发展外贸为突破口以外贸带外资以外资促外贸
A11_122 皮球在绿茵茵的草地上滚来滚去双方球员在屏幕上争抢我靠着亚红斜眼看着电视
A11_123 另外假设不麻烦请关照一下内务及星空花园原则上别让屋子变成鬼屋就好了啦云云
A11_124 另外女单中国队还有韩晶娜和尧燕奥运排名第六七位也可与高手一搏
A11_125 工厂和厂房依山而建全部配备排污系统你见不到黑烟听不到噪声也看不到污水
A11_126 对於她在人赃俱获的情况下仍强辞夺理颇感有趣她似乎不知道绝望为何物
A11_127 要想扶优汰劣首先要解决谁优谁劣的问题要判定谁优谁劣必须得有一个衡量的尺子
A11_128 仅绘画而论齐白石是巍巍昆仑可这位附庸风雅的门外汉连一块石头都不是
A11_129 他患有风湿性腰疼病一粘潮湿劳累就疼痛难忍但装井口又必须弯腰弓背钻进满是泥水的钻台下边干活
A11_130 大花鞋的殷勤与自信早已烟消云散她抱着双臂冷冷地看着这一切
A11_131 去年二月未满十岁的徐敏又被上海前进业余进修学院录取继续学习新概念英语第四册
A11_132 得到李公朴噩耗闻一多怒愤填膺拍案而起怒斥反动派卑鄙无耻
A11_133 村支部书记嘎玛罗布说雪灾时圈窝种的草维持了一个半月否则损失更大
A11_134 法既赞成北约东扩又同意加强欧安组织的作用从而和美国有所区别
A11_135 一定还有别样的生活有城市有音乐有遥望远方事物的等待有令人狂喜的发现
A11_136 据加拿大广播公司报道说加拿大一艘武装巡逻艇今天傍晚已经出海驶往大浅滩进行管制
A11_137 不弃雅不避俗化俗为雅化雅为俗俗不伤雅雅俗共赏
A11_138 经过上上下下的共同努力扼制了外资额下降的趋势出现外资额大幅度回升的局面
A11_139 他认为丝绸之路上的民歌很有特色因为地理位置横跨欧亚大陆是极特殊的跨国籍民歌
A11_140 亚硝胺类在变质的食物中含量比较多所以应少吃些腌肉腌菜熏鱼之类的食品
A11_141 中国除个别运动员与外国选手组对参加双打预选赛外均将直接进入正赛
A11_142 但不要对马导一拥而上乱吵乱说防止激化矛盾发生意外冲突
A11_143 袅袅地他吹我到沉死的夜邦我望安静的灵魂们在
A11_144 此消息一出立即轰动了全院一些亲朋故友纷纷出面劝阻高树槐要三思而后行
A11_145 你们大家吃苍蝇我也跟着吃苍蝇你们愿意吃蚊子我就跟着吃蚊子什么事不用问我
A11_146 我心里一阵忐忑想象该怎样采访半夜用牙刷柄戳人家眼睛的人不曾有过半点经验
A11_147 为了维持固定汇率顺差国就需抛售本国币购买外币逆差国就需抛售外币购买本国币
A11_148 十几根鎏金石雕圆柱承托着两层圆形屋顶远看颇似我国传统的重檐圆亭
A11_149 水开了各人用缸子舀来开水掏出个牛肉午餐肉罐头就用馍夹着肉在火上边烤边吃
A11_150 福安广告公司方面说他们并不赞成拆梦龙春广告但上头有压力没有办法
A11_151 她奇怪自己不仅无一丝虚怯竟有种与对手拼杀较量跃跃欲试的心境
A11_152 赛距为职业运动员最长二十四千米业余运动员最长二十一千米青年运动员最长十五千米
A11_153 近年来影坛上什么鬼啊侠啊偷啊盗啊杀啊鲜血淋漓的凶杀场面等成了某些娱乐片里不可少的内容
A11_154 诸宸在咬牙拼搏她的队友王蕾王频也分别在与哈格洛娃希加里科娃苦战
A11_155 闪闪乌金通过高速自动化皮带从井内工作面直送井外源源不断地装满列车运往全国各地
A11_156 太湖东岸一带的云团由淡到浓再由浓到淡而上海市区上空的云越来越少越来越稀
A11_157 除七害包括扫除卖淫嫖娼聚众赌博吸食贩运毒品拐卖妇女儿童等
A11_158 七十二岁的黄浦区第一饮食公司退休职工沈治平身板硬朗因为老伴卧床养病便成了高龄马大嫂
A11_159 匈奴右部遭到了沉重打击匈奴浑邪王杀休屠王率领部众四万人降汉
A11_160 用传统的常规育秧方式每育一亩秧苗只可栽插八亩大田底膜育秧则可移栽五十亩
A11_161 驻华武官团团长扎伊尔驻华武官莫库达上校代表约五十个国家的驻华武官致辞
A11_162 该钟重约十四吨每走一小时就发出深沉铿锵的报时声袅袅余音遥远可闻
A11_163 他穷追不舍深挖细查终于弄清被告与该奶牛站是两块牌子一套班子
A11_164 黄鹤楼酒称誉于清朝康熙年间武昌鱼汉阳藕汉口酒被誉为三绝
A11_165 各区负责各区的业务只有死亡在别区的人才允许使用别区的殡仪馆
A11_166 满年四季只要有阳光白天大部分时间他都照旧卷曲在院墙外那个破碾盘上
A11_167 苏安宁遂令随从教民唐启虞彭亚昌等将李元康抓走
A11_168 国防大学政委王茂润中将与延安八一敬老院八十五岁的老红军柴福耀亲切交谈
A11_169 但要注意越往基层指标往往定得越高每一层一般要增加一到二个百分点
A11_170 据印度官员透露双方讨论了印度控制的克什米尔地区目前的紧张局势问题
A11_171 深夜十二点钟他站在哨位上环视周围阴森可怖越想越害怕抱枪哭着跑回营房
A11_172 明月村富了昔日的穷山沟冒出了这样一轮明月令周围的群众好生羡慕
A11_173 原产欧洲的勿忘草其貌不扬但名闻欧亚俗称勿忘我或毋忘我
A11_174 连队只留下一名值班员炊事员饲养员卫生员等也列队跑步赶往灾区
A11_175 老弟兄俩听说海民要挖池养鱼就凑到一块拉谈过看能不能在海民这里入个股
A11_176 其中水运口岸八十一个空运口岸二十五个铁路口岸十个公路口岸二十三个
A11_177 破产债务为破产债户所有债权人的共同损失按债权发生额平均分摊或冲减债权
A11_178 贝雷戈瓦昨天在外省城市普瓦蒂埃的竞选集会上称欧洲应以坚定的立场从零开始同美国重开农业谈判
A11_179 刘积松原是钦州地区的钦州市长地区撤县建市后改任钦州市的钦北区委书记
A11_180 刘小光九段与王磊六段之战最为激烈也是最晚结束的一盘棋共下了二百五十五手
A11_181 对全部运款车进行改造达到防抢防盗要求并为全体押运人员配备了防弹头盔和防弹服
A11_182 上午九时随着天津民园体育场内发令枪一声脆响六十一名女运动员蜂拥起跑
A11_183 他反对当时的道学派主张男女婚姻自主曾被人诬蔑有狎妓女白昼同浴勾引士人妻女等禽兽行
A11_184 南沙之夜他望着月色下的波涛惦记着千里之遥的江淮灾民彻夜未眠
A11_185 其中三十号居民邵桃阿婆当场被压死然后又凶狠地扑向北园酒家东楼
A11_186 在春风吹绿柳梢杨芽老槐枝的时候晓庄竟如晦暗日久的废园陡然鲜花满树香播万里
A11_187 此外还利用这层亲缘关系稳定本厂所需钢渣矿渣来源
A11_188 不久曹祯梧同志又多方奔走为他联系调往条件优越的内地某医院
A11_189 根据村规民约殴打虐待老人的王某儿媳被处二百元罚款并交医疗费五百元
A11_190 那种从国外引进的用辣椒减肥的洋玩意儿究竟是吃还是外敷广告未说明不得而知
A11_191 当船往下漂时白唇鹿扬起四蹄在岸边追随好像是送行一直跑了十几里太亲切了
A11_192 该书重点介绍了企业筹资与负债经营追讨债务与预防债务发生的相关知识
A11_193 上次苑梅到同学家去伍太太叫她顺便弯到荀家去送个信也是免得让荀太太又给酒钱
A11_194 餐巾是擦嘴和手指的杯边请用餐纸擦拭脸上的汗或沾上的水汁请用自己的手绢擦掉
A11_195 其中最使清廷要员闻之丧魂落魄的是由陈独秀参与密谋的吴樾狙击出洋五大臣事件
A11_196 神汉巫婆说什么吊颈鬼缠住了我二哥要吃喝要钱用要我家破财消灾
A11_197 天公不作美当天晚开始转阴下雨次日清晨仍阴云密布人们沮丧地准备撤离
A11_198 他们从岸边爬起来浑身水淋淋地往下游跑又扑到下游刚起的波浪上
A11_199 该院特聘钱伟长唐克为顾问聂卫平为名誉院长
A11_200 香快燃完了唐老六还没有来接班我心里只骂他混帐要是多有个人也好助我一把
A11_201 主要原因是世界红白藤主产国印尼禁止红白藤原料出口导致国际红白藤原料价格上涨
A11_202 但对企业来说机制转换了自主经营了自负盈亏了也还有负盈和负亏的两种可能性
A11_203 开滦矿务局后吕家坨矿张文友张文富两兄弟同超产同立功同当劳动模范
A11_204 使用最方便的索引是正文词条按照汉语拼音方案排列这样可直接按照音序查找正文
A11_205 自从有这给瞎子作妾的话她看见街上的瞎子就有种异样的感觉又讨厌又有点怕
A11_206 上等糖果香烟药品等用玻璃纸包装除了美观外还有保护物品的绝妙作用
A11_207 真幽默那机智百变那妙趣横生让人越琢磨越捧腹而且有茅塞顿开般的启悟
A11_208 此案中盗窃文物的刘农军刘进文西山李军等四名主犯也在九月十八日被依法判处
A11_209 避开对方雷达追踪的秘诀在于在机体上喷涂的特殊涂料而这种特殊涂料是日本研制的
A11_210 只缘突围导无方湘江损失危矣遵义正确作决策勇猛飞杀千古颂
A11_211 开发区以行业规划分为工业区商贸区旅游区生活区和公共建筑区
A11_212 这碗离娘饭姑娘再有离娘痛楚也要每样都吃一点才算循规遵俗的
A11_213 经实验证明其杀精子效果高于目前国内一般外用避孕药而且使用起来安全方便
A11_214 今天陪以萌找冯邦找得又累又饿但看见以萌那副着急样我一点也吃不下
A11_215 左拐右旋中时而穷途末路弯腰低背钻出罅隙后柳暗花明
A11_216 制止早婚早育和违反政策的生育努力减少意外妊娠和计划外生育
A11_217 开会的会场估计只有二十二摄氏度而午后室外的最高气温常达三十三摄氏度左右
A11_218 乙肝病毒非常顽固患病后往往长期不能痊愈而且慢性乙型肝炎还有可能转为肝癌
A11_219 这朋友也象谈恋爱一样得讲缘份有缘份是不用刻意去追求的
A11_220 当时纸张奇缺我们就用废旧文件的背面来油印虽很粗糙但总算给每个组印了一本
A11_221 韩国的基本目标是射箭三块金牌柔道三块金牌羽毛球两块金牌以及举重等十二块金牌
A11_222 连日来成都军区后勤部各级领导纷纷深入抢运第一线现场指挥精心组织人员装载物资
A11_223 精液中遗传损伤精子的水平并不影响生育一些遗传损伤可以在受孕后自然修复
A11_224 三是要下决心对预算外资金进行清理整顿把应纳入预算的预算外资金都纳入预算管理
A11_225 血液循环系统有严重障碍特别是那些由于脑血管变窄而经常头晕头昏的人
A11_226 所谓软是指软件包括专利使用权设计图纸技术诀窍纯技术引进不带硬件
A11_227 我把宁儿托给韩嫂带着彬娃上来的又怕那些黑心肝晓得不敢带来给你看
A11_228 既然严区长不在你就先报告一下我也在这里以后严区长如果追问一切有我负责
A11_229 去年十月由于大蒜滞销村里一万多公斤大蒜眼看要发芽坏掉
A11_230 营业性演出场所和营业性电影放映场所转业或撤销必须经市文化局或市电影局审批
A11_231 四是对全体员工加强外语培训严格外语考试并把外语成绩和本人的经济收入挂钩
A11_232 胶卷冲完后仍留在暗盒中顾客得到一份和底片同样大小的照片供扩印选择用
A11_233 安第斯集团由玻利维亚哥伦比亚厄瓜多尔秘鲁和委内瑞拉五国组成
A11_234 南京玄武湖动物园里的一对红猩猩学会了向游人做怪动作和吐唾沫等坏毛病常常弄得游人扫兴而归
A11_235 李瑞环说中柬友谊是中国老一辈领导人和国王陛下亲手缔造的经受了各种风浪的考验
A11_236 然而半年多来命运之神一直与叶乔波作对严重的膝伤使她与最后的梦想越来越远
A11_237 马锐看了一眼又躺下了只留下一个光洁粉红尚未因脚气的骚扰而糜烂蜕皮的脚丫
A11_238 这位病人因贲门下胃底大弯静脉曲张伴血管瘤破裂胃内大量喷血
A11_239 人类生存与发展仍然面临种种威胁与困扰国际形势仍存在诸多不稳定因素
A11_240 昙花一现的王叔文改革由于发生在唐顺宗永贞年间所以又被称为永贞革新
A11_241 人代会开幕那天奥申委执行主席伍绍祖在人民大会堂东大厅一露面就被团团围住
A11_242 麻子抛给笠冈的那懦弱二字也没能避免岁月风吹雨打的侵蚀
A11_243 有三百五十三户人家在洱海网箱养鱼八十五亩产鱼四百多吨平均亩产达到五千四百五十公斤
A11_244 阿拉法特的夫人苏哈抱着不满五个月的女儿扎哈瓦在耶稣诞生的马槽旁留影
A11_245 真是聪明反被聪明误厂长等人因犯有包庇罪同窃贼一起被关进了班房
A11_246 对那些贫难侨曾建恩更是关怀备至平时给照顾不说碰到临时困难尤为关心
A11_247 中澳经贸合作发展如此之快澳方仍感不足可见澳政府制定融入亚洲之急切
A11_248 不久欧洲权威医学杂志英国心脏杂志全文刊登了张运的两篇论文
A11_249 每日下午三四点钟陪得志到大海的游泳池畔太阳伞下坐坐吹吹海风欣赏游泳人的风姿
